x,x_index,y,y_index,lat_index,lon_index
952750.0,5513,-3065000.0,8049,208,536
1010750.0,5571,-3059000.0,8043,208,537
1067750.0,5628,-3053000.0,8037,208,538
1125750.0,5686,-3046000.0,8030,208,539
889750.0,5450,-3011000.0,7995,209,535
946750.0,5507,-3006000.0,7990,209,536
1003750.0,5564,-3000000.0,7984,209,537
1061750.0,5622,-2994000.0,7978,209,538
1118750.0,5679,-2987000.0,7971,209,539
827750.0,5388,-2958000.0,7942,210,534
884750.0,5445,-2953000.0,7937,210,535
940750.0,5501,-2947000.0,7931,210,536
997750.0,5558,-2941000.0,7925,210,537
1054750.0,5615,-2935000.0,7919,210,538
1111750.0,5672,-2929000.0,7913,210,539
368750.0,4929,-2928000.0,7912,211,526
425750.0,4986,-2925000.0,7909,211,527
765750.0,5326,-2904000.0,7888,211,533
822750.0,5383,-2899000.0,7883,211,534
878750.0,5439,-2894000.0,7878,211,535
935750.0,5496,-2889000.0,7873,211,536
991750.0,5552,-2883000.0,7867,211,537
1048750.0,5609,-2877000.0,7861,211,538
1104750.0,5665,-2870000.0,7854,211,539
197750.0,4758,-2874000.0,7858,212,523
253750.0,4814,-2873000.0,7857,212,524
310750.0,4871,-2871000.0,7855,212,525
366750.0,4927,-2869000.0,7853,212,526
422750.0,4983,-2867000.0,7851,212,527
479750.0,5040,-2864000.0,7848,212,528
535750.0,5096,-2861000.0,7845,212,529
648750.0,5209,-2854000.0,7838,212,531
704750.0,5265,-2850000.0,7834,212,532
760750.0,5321,-2846000.0,7830,212,533
816750.0,5377,-2841000.0,7825,212,534
873750.0,5434,-2836000.0,7820,212,535
929750.0,5490,-2830000.0,7814,212,536
985750.0,5546,-2825000.0,7809,212,537
1041750.0,5602,-2819000.0,7803,212,538
1097750.0,5658,-2812000.0,7796,212,539
1153750.0,5714,-2805000.0,7789,212,540
1209750.0,5770,-2798000.0,7782,212,541
1265750.0,5826,-2791000.0,7775,212,542
27750.0,4588,-2818000.0,7802,213,520
83750.0,4644,-2818000.0,7802,213,521
139750.0,4700,-2817000.0,7801,213,522
196750.0,4757,-2816000.0,7800,213,523
252750.0,4813,-2815000.0,7799,213,524
308750.0,4869,-2813000.0,7797,213,525
364750.0,4925,-2811000.0,7795,213,526
420750.0,4981,-2809000.0,7793,213,527
476750.0,5037,-2806000.0,7790,213,528
532750.0,5093,-2803000.0,7787,213,529
588750.0,5149,-2800000.0,7784,213,530
644750.0,5205,-2796000.0,7780,213,531
700750.0,5261,-2792000.0,7776,213,532
756750.0,5317,-2787000.0,7771,213,533
811750.0,5372,-2783000.0,7767,213,534
867750.0,5428,-2778000.0,7762,213,535
923750.0,5484,-2772000.0,7756,213,536
979750.0,5540,-2767000.0,7751,213,537
1035750.0,5596,-2761000.0,7745,213,538
1090750.0,5651,-2754000.0,7738,213,539
1146750.0,5707,-2748000.0,7732,213,540
1202750.0,5763,-2740000.0,7724,213,541
1257750.0,5818,-2733000.0,7717,213,542
-83250.0,4477,-2760000.0,7744,214,518
-28250.0,4532,-2760000.0,7744,214,519
27750.0,4588,-2760000.0,7744,214,520
83750.0,4644,-2760000.0,7744,214,521
139750.0,4700,-2759000.0,7743,214,522
194750.0,4755,-2758000.0,7742,214,523
250750.0,4811,-2757000.0,7741,214,524
306750.0,4867,-2755000.0,7739,214,525
361750.0,4922,-2753000.0,7737,214,526
417750.0,4978,-2751000.0,7735,214,527
473750.0,5034,-2748000.0,7732,214,528
528750.0,5089,-2745000.0,7729,214,529
584750.0,5145,-2742000.0,7726,214,530
640750.0,5201,-2738000.0,7722,214,531
695750.0,5256,-2734000.0,7718,214,532
751750.0,5312,-2730000.0,7714,214,533
806750.0,5367,-2725000.0,7709,214,534
862750.0,5423,-2720000.0,7704,214,535
917750.0,5478,-2715000.0,7699,214,536
973750.0,5534,-2709000.0,7693,214,537
1028750.0,5589,-2703000.0,7687,214,538
1084750.0,5645,-2697000.0,7681,214,539
1139750.0,5700,-2690000.0,7674,214,540
1194750.0,5755,-2683000.0,7667,214,541
1249750.0,5810,-2676000.0,7660,214,542
-138250.0,4422,-2701000.0,7685,215,517
-83250.0,4477,-2702000.0,7686,215,518
-27250.0,4533,-2702000.0,7686,215,519
27750.0,4588,-2702000.0,7686,215,520
82750.0,4643,-2702000.0,7686,215,521
138750.0,4699,-2701000.0,7685,215,522
193750.0,4754,-2700000.0,7684,215,523
248750.0,4809,-2699000.0,7683,215,524
304750.0,4865,-2697000.0,7681,215,525
359750.0,4920,-2695000.0,7679,215,526
415750.0,4976,-2693000.0,7677,215,527
470750.0,5031,-2690000.0,7674,215,528
525750.0,5086,-2687000.0,7671,215,529
580750.0,5141,-2684000.0,7668,215,530
636750.0,5197,-2680000.0,7664,215,531
691750.0,5252,-2676000.0,7660,215,532
746750.0,5307,-2672000.0,7656,215,533
801750.0,5362,-2667000.0,7651,215,534
857750.0,5418,-2662000.0,7646,215,535
912750.0,5473,-2657000.0,7641,215,536
967750.0,5528,-2651000.0,7635,215,537
1022750.0,5583,-2645000.0,7629,215,538
1077750.0,5638,-2639000.0,7623,215,539
1132750.0,5693,-2632000.0,7616,215,540
1187750.0,5748,-2625000.0,7609,215,541
1242750.0,5803,-2618000.0,7602,215,542
1297750.0,5858,-2611000.0,7595,215,543
-357250.0,4203,-2637000.0,7621,216,513
-302250.0,4258,-2639000.0,7623,216,514
-247250.0,4313,-2641000.0,7625,216,515
-192250.0,4368,-2642000.0,7626,216,516
-137250.0,4423,-2643000.0,7627,216,517
-82250.0,4478,-2644000.0,7628,216,518
-27250.0,4533,-2644000.0,7628,216,519
27750.0,4588,-2644000.0,7628,216,520
82750.0,4643,-2644000.0,7628,216,521
137750.0,4698,-2643000.0,7627,216,522
192750.0,4753,-2642000.0,7626,216,523
247750.0,4808,-2641000.0,7625,216,524
302750.0,4863,-2639000.0,7623,216,525
357750.0,4918,-2637000.0,7621,216,526
412750.0,4973,-2635000.0,7619,216,527
467750.0,5028,-2632000.0,7616,216,528
522750.0,5083,-2629000.0,7613,216,529
577750.0,5138,-2626000.0,7610,216,530
687750.0,5248,-2619000.0,7603,216,532
742750.0,5303,-2614000.0,7598,216,533
796750.0,5357,-2610000.0,7594,216,534
851750.0,5412,-2605000.0,7589,216,535
906750.0,5467,-2599000.0,7583,216,536
961750.0,5522,-2594000.0,7578,216,537
1015750.0,5576,-2588000.0,7572,216,538
1070750.0,5631,-2582000.0,7566,216,539
1125750.0,5686,-2575000.0,7559,216,540
1179750.0,5740,-2568000.0,7552,216,541
1234750.0,5795,-2561000.0,7545,216,542
1288750.0,5849,-2553000.0,7537,216,543
-410250.0,4150,-2578000.0,7562,217,512
-355250.0,4205,-2580000.0,7564,217,513
-301250.0,4259,-2582000.0,7566,217,514
-246250.0,4314,-2584000.0,7568,217,515
-191250.0,4369,-2585000.0,7569,217,516
-136250.0,4424,-2586000.0,7570,217,517
-82250.0,4478,-2586000.0,7570,217,518
-27250.0,4533,-2587000.0,7571,217,519
27750.0,4588,-2587000.0,7571,217,520
81750.0,4642,-2586000.0,7570,217,521
136750.0,4697,-2586000.0,7570,217,522
191750.0,4752,-2585000.0,7569,217,523
245750.0,4806,-2584000.0,7568,217,524
300750.0,4861,-2582000.0,7566,217,525
355750.0,4916,-2580000.0,7564,217,526
409750.0,4970,-2578000.0,7562,217,527
464750.0,5025,-2575000.0,7559,217,528
1009750.0,5570,-2531000.0,7515,217,538
1063750.0,5624,-2525000.0,7509,217,539
1118750.0,5679,-2518000.0,7502,217,540
1172750.0,5733,-2511000.0,7495,217,541
1226750.0,5787,-2504000.0,7488,217,542
1280750.0,5841,-2496000.0,7480,217,543
1335750.0,5896,-2489000.0,7473,217,544
-516250.0,4044,-2515000.0,7499,218,510
-462250.0,4098,-2518000.0,7502,218,511
-407250.0,4153,-2520000.0,7504,218,512
-353250.0,4207,-2523000.0,7507,218,513
-299250.0,4261,-2525000.0,7509,218,514
-244250.0,4316,-2526000.0,7510,218,515
-190250.0,4370,-2528000.0,7512,218,516
-136250.0,4424,-2529000.0,7513,218,517
-81250.0,4479,-2529000.0,7513,218,518
-27250.0,4533,-2529000.0,7513,218,519
26750.0,4587,-2529000.0,7513,218,520
81750.0,4642,-2529000.0,7513,218,521
135750.0,4696,-2529000.0,7513,218,522
189750.0,4750,-2528000.0,7512,218,523
244750.0,4805,-2526000.0,7510,218,524
298750.0,4859,-2525000.0,7509,218,525
352750.0,4913,-2523000.0,7507,218,526
407750.0,4968,-2520000.0,7504,218,527
1003750.0,5564,-2474000.0,7458,218,538
1057750.0,5618,-2468000.0,7452,218,539
1111750.0,5672,-2461000.0,7445,218,540
1165750.0,5726,-2454000.0,7438,218,541
1218750.0,5779,-2447000.0,7431,218,542
1272750.0,5833,-2440000.0,7424,218,543
1326750.0,5887,-2432000.0,7416,218,544
-566250.0,3994,-2455000.0,7439,219,509
-513250.0,4047,-2458000.0,7442,219,510
-459250.0,4101,-2461000.0,7445,219,511
-405250.0,4155,-2463000.0,7447,219,512
-351250.0,4209,-2466000.0,7450,219,513
-297250.0,4263,-2468000.0,7452,219,514
-243250.0,4317,-2469000.0,7453,219,515
