x,y,lat ,lon
-4534093.900859435,-3078585.229407555,6.25,223.25
-4507001.840230838,-3021123.4903637236,6.75,223.25
-4449621.240763924,-3047967.387515221,6.75,223.75
-4392080.7658871915,-3074466.8546876605,6.75,224.25
-4536919.95959292,-2936920.724605315,7.25,222.75
-4480043.546369797,-2963945.468058734,7.25,223.25
-4423006.164659873,-2990628.800450455,7.25,223.75
-4365809.863822916,-3016969.7630452365,7.25,224.25
-4308456.698928687,-3042967.409409219,7.25,224.75
-4250948.73068309,-3068620.805443937,7.25,225.25
-4509752.262689523,-2880182.761886828,7.75,222.75
-4453216.43320364,-2907045.6774822352,7.75,223.25
-4396520.599132259,-2933569.2264320506,7.75,223.75
-4339666.797563302,-2959752.455742072,7.75,224.25
-4282657.07126049,-2985594.4246458146,7.75,224.75
-4225493.468589942,-3011094.204638324,7.75,225.25
-4168178.0434465497,-3036250.879509534,7.75,225.75
-4110712.855180227,-3061063.5453771846,7.75,226.25
-4053099.9685218926,-3085531.3107192987,7.75,226.75
-4538750.647510438,-2796678.61773922,8.25,222.25
-4482714.833151044,-2823716.8540620776,8.25,222.75
-4426517.954325218,-2850418.7177536767,8.25,223.25
-4370162.030193349,-2876783.249412948,8.25,223.75
-4313649.085630359,-2902809.5017591976,8.25,224.25
-4256981.151152938,-2928496.5396661423,8.25,224.75
-4200160.26284658,-2953843.4401955153,8.25,225.25
-4143188.462292415,-2978849.2926302296,8.25,225.75
-4086067.7964938837,-3003513.198507091,8.25,226.25
-4028800.3178031705,-3027834.271649087,8.25,226.75
-3971388.083847449,-3051811.638197224,8.25,227.25
-3913833.1574549824,-3075444.4366419273,8.25,227.75
-4511504.563096864,-2740641.7711564614,8.75,222.25
-4455805.131290025,-2767517.697159485,8.75,222.75
-4399945.601885477,-2794059.2697735066,8.75,223.25
-4343927.981922609,-2820265.535356735,8.75,223.75
-4287754.284121031,-2846135.552314997,8.75,224.25
-4231426.526808256,-2871668.391135564,8.75,224.75
-4174946.7338471785,-2896863.134420558,8.75,225.25
-4118316.9345633285,-2921718.8769199224,8.75,225.75
-4061539.163672003,-2946234.7255639285,8.75,226.25
-4004615.461205131,-2970409.7994952784,8.75,226.75
-3947547.8724379684,-2994243.2301007463,8.75,227.25
-3890338.4478156334,-3017734.1610423946,8.75,227.75
-3832989.2428794303,-3040881.748288335,8.75,228.25
-3775502.3181929695,-3063685.1601430587,8.75,228.75
-3717879.7392681497,-3086143.5772773228,8.75,229.25
-4539588.760149925,-2657819.9407710433,9.25,221.75
-4484385.270004298,-2684865.695468173,9.25,222.25
-4429020.655373223,-2711580.066472365,9.25,222.75
-4373496.905513779,-2737962.0939331497,9.25,223.25
-4317816.015400759,-2764010.8299412057,9.25,223.75
-4261979.985655029,-2789725.338562418,9.25,224.25
-4205990.822471652,-2815104.6958714887,9.25,224.75
-4149850.537547793,-2840147.989985152,9.25,225.25
-4093561.14801042,-2864854.3210949353,9.25,225.75
-4037124.676343867,-2889222.8014994804,9.25,226.25
-3980543.1503171436,-2913252.555636443,9.25,226.75
-3923818.6029110653,-2936942.7201139606,9.25,227.25
-3866953.0722452346,-2960292.4437416596,9.25,227.75
-3809948.6015048055,-2983300.8875612477,9.25,228.25
-3752807.238867049,-3005967.224876658,9.25,228.75
-3695531.037427779,-3028290.641283751,9.25,229.25
-3638122.055127593,-3050270.334699572,9.25,229.75
-3580582.3546779207,-3071905.5153911724,9.25,230.25
-4512261.450044158,-2602462.3125761827,9.75,221.75
-4457390.2725757,-2629345.2578725694,9.75,222.25
-4402358.940555198,-2655898.814331815,9.75,222.75
-4347169.4312648475,-2682122.0278815306,9.75,223.25
-4291823.72767014,-2708013.956318601,9.75,223.75
-4236323.81834865,-2733573.669343022,9.75,224.25
-4180671.6974185947,-2758800.248591324,9.75,224.75
-4124869.3644671706,-2783692.78766957,9.75,225.25
-4068918.8244786942,-2808250.392185937,9.75,225.75
-4012822.087762594,-2832472.179782827,9.75,226.25
-3956581.169881164,-2856357.280168589,9.75,226.75
-3900198.091577129,-2879904.8351487834,9.75,227.25
-3843674.878701068,-2903113.998657016,9.75,227.75
-3787013.5621386142,-2925983.9367853333,9.75,228.25
-3730216.177737472,-2948513.827814196,9.75,228.75
-3673284.766234275,-2970702.8622419927,9.75,229.25
-3616221.3731812797,-2992550.2428141306,9.75,229.75
-3559028.0488728527,-3014055.184551679,9.75,230.25
-3501706.8482718053,-3035216.914779573,9.75,230.75
-3444259.830935546,-3056034.67315438,9.75,231.25
-3386689.060942115,-3076507.711691615,9.75,231.75
-4539436.692042393,-2520307.2159117986,10.25,221.25
-4485057.4760648785,-2547354.5295145107,10.25,221.75
-4430517.111449485,-2574075.4002165007,10.25,222.25
-4375817.557837859,-2600468.867933776,10.25,222.75
-4320960.78059136,-2626533.984345958,10.25,223.25
-4265948.750720377,-2652269.812930377,10.25,223.75
-4210783.44481355,-2677675.428995716,10.25,224.25
-4155466.8449667552,-2702749.919715227,10.25,224.75
-4100000.9387118784,-2727492.384159533,10.25,225.25
