x_coordinate ,x_index,y_coordinate ,y_index
-4534250.0,26,-3079000.0,8063
-4507250.0,53,-3021000.0,8005
-4449250.0,111,-3048000.0,8032
-4392250.0,168,-3074000.0,8058
-4537250.0,23,-2937000.0,7921
-4480250.0,80,-2964000.0,7948
-4423250.0,137,-2991000.0,7975
-4366250.0,194,-3017000.0,8001
-4308250.0,252,-3043000.0,8027
-4251250.0,309,-3069000.0,8053
-4510250.0,50,-2880000.0,7864
-4453250.0,107,-2907000.0,7891
-4396250.0,164,-2934000.0,7918
-4339250.0,221,-2960000.0,7944
-4282250.0,278,-2986000.0,7970
-4225250.0,335,-3011000.0,7995
-4168250.0,392,-3036000.0,8020
-4110250.0,450,-3061000.0,8045
-4053250.0,507,-3086000.0,8070
-4539250.0,21,-2797000.0,7781
-4482250.0,78,-2824000.0,7808
-4426250.0,134,-2850000.0,7834
-4370250.0,190,-2877000.0,7861
-4313250.0,247,-2903000.0,7887
-4257250.0,303,-2928000.0,7912
-4200250.0,360,-2954000.0,7938
-4143250.0,417,-2979000.0,7963
-4086250.0,474,-3004000.0,7988
-4029250.0,531,-3028000.0,8012
-3971250.0,589,-3052000.0,8036
-3914250.0,646,-3075000.0,8059
-4511250.0,49,-2741000.0,7725
-4456250.0,104,-2768000.0,7752
-4400250.0,160,-2794000.0,7778
-4344250.0,216,-2820000.0,7804
-4288250.0,272,-2846000.0,7830
-4231250.0,329,-2872000.0,7856
-4175250.0,385,-2897000.0,7881
-4118250.0,442,-2922000.0,7906
-4061250.0,499,-2946000.0,7930
-4004250.0,556,-2970000.0,7954
-3947250.0,613,-2994000.0,7978
-3890250.0,670,-3018000.0,8002
-3833250.0,727,-3041000.0,8025
-3775250.0,785,-3064000.0,8048
-3718250.0,842,-3086000.0,8070
-4539250.0,21,-2658000.0,7642
-4484250.0,76,-2685000.0,7669
-4429250.0,131,-2712000.0,7696
-4373250.0,187,-2738000.0,7722
-4318250.0,242,-2764000.0,7748
-4262250.0,298,-2790000.0,7774
-4206250.0,354,-2815000.0,7799
-4150250.0,410,-2840000.0,7824
-4093250.0,467,-2865000.0,7849
-4037250.0,523,-2889000.0,7873
-3980250.0,580,-2913000.0,7897
-3924250.0,636,-2937000.0,7921
-3867250.0,693,-2960000.0,7944
-3810250.0,750,-2983000.0,7967
-3753250.0,807,-3006000.0,7990
-3695250.0,865,-3028000.0,8012
-3638250.0,922,-3050000.0,8034
-3580250.0,980,-3072000.0,8056
-4512250.0,48,-2602000.0,7586
-4457250.0,103,-2629000.0,7613
-4402250.0,158,-2656000.0,7640
-4347250.0,213,-2682000.0,7666
-4292250.0,268,-2708000.0,7692
-4236250.0,324,-2734000.0,7718
-4180250.0,380,-2759000.0,7743
-4125250.0,435,-2784000.0,7768
-4069250.0,491,-2808000.0,7792
-4013250.0,547,-2832000.0,7816
-3956250.0,604,-2856000.0,7840
-3900250.0,660,-2880000.0,7864
-3843250.0,717,-2903000.0,7887
-3787250.0,773,-2926000.0,7910
-3730250.0,830,-2949000.0,7933
-3673250.0,887,-2971000.0,7955
-3616250.0,944,-2993000.0,7977
-3559250.0,1001,-3014000.0,7998
-3501250.0,1059,-3035000.0,8019
-3444250.0,1116,-3056000.0,8040
-3386250.0,1174,-3077000.0,8061
-4539250.0,21,-2520000.0,7504
-4485250.0,75,-2547000.0,7531
-4430250.0,130,-2574000.0,7558
-4376250.0,184,-2600000.0,7584
-4321250.0,239,-2627000.0,7611
-4266250.0,294,-2652000.0,7636
-4211250.0,349,-2678000.0,7662
-4155250.0,405,-2703000.0,7687
-4100250.0,460,-2727000.0,7711
-4044250.0,516,-2752000.0,7736
-3988250.0,572,-2776000.0,7760
-3932250.0,628,-2800000.0,7784
-3876250.0,684,-2823000.0,7807
-3820250.0,740,-2846000.0,7830
-3764250.0,796,-2869000.0,7853
-3707250.0,853,-2891000.0,7875
-3651250.0,909,-2913000.0,7897
-3594250.0,966,-2935000.0,7919
-3537250.0,1023,-2956000.0,7940
-3480250.0,1080,-2977000.0,7961
-3423250.0,1137,-2998000.0,7982
-3366250.0,1194,-3019000.0,8003
-3309250.0,1251,-3039000.0,8023
-3251250.0,1309,-3058000.0,8042
-3194250.0,1366,-3078000.0,8062
3193750.0,7754,-3078000.0,8062
3251750.0,7812,-3058000.0,8042
-4512250.0,48,-2466000.0,7450
-4458250.0,102,-2492000.0,7476
-4404250.0,156,-2519000.0,7503
-4349250.0,211,-2545000.0,7529
-4295250.0,265,-2571000.0,7555
-4240250.0,320,-2597000.0,7581
-4185250.0,375,-2622000.0,7606
-4130250.0,430,-2647000.0,7631
-4075250.0,485,-2672000.0,7656
-4020250.0,540,-2696000.0,7680
-3964250.0,596,-2720000.0,7704
-3909250.0,651,-2743000.0,7727
-3853250.0,707,-2767000.0,7751
-3797250.0,763,-2790000.0,7774
-3741250.0,819,-2812000.0,7796
-3685250.0,875,-2834000.0,7818
-3629250.0,931,-2856000.0,7840
-3572250.0,988,-2878000.0,7862
-3516250.0,1044,-2899000.0,7883
-3459250.0,1101,-2920000.0,7904
-3403250.0,1157,-2941000.0,7925
-3346250.0,1214,-2961000.0,7945
-3289250.0,1271,-2981000.0,7965
-3232250.0,1328,-3000000.0,7984
-3174250.0,1386,-3019000.0,8003
-3117250.0,1443,-3038000.0,8022
-3060250.0,1500,-3057000.0,8041
-3002250.0,1558,-3075000.0,8059
3001750.0,7562,-3075000.0,8059
3059750.0,7620,-3057000.0,8041
3116750.0,7677,-3038000.0,8022
3174750.0,7735,-3019000.0,8003
3231750.0,7792,-3000000.0,7984
-4538250.0,22,-2384000.0,7368
-4484250.0,76,-2411000.0,7395
-4431250.0,129,-2438000.0,7422
-4377250.0,183,-2464000.0,7448
-4323250.0,237,-2490000.0,7474
-4269250.0,291,-2516000.0,7500
-4214250.0,346,-2542000.0,7526
-4160250.0,400,-2567000.0,7551
-4105250.0,455,-2591000.0,7575
-4050250.0,510,-2616000.0,7600
-3995250.0,565,-2640000.0,7624
-3940250.0,620,-2664000.0,7648
-3885250.0,675,-2687000.0,7671
-3830250.0,730,-2710000.0,7694
-3774250.0,786,-2733000.0,7717
-3719250.0,841,-2756000.0,7740
-3663250.0,897,-2778000.0,7762
-3607250.0,953,-2799000.0,7783
-3551250.0,1009,-2821000.0,7805
-3495250.0,1065,-2842000.0,7826
-3438250.0,1122,-2863000.0,7847
-3382250.0,1178,-2883000.0,7867
-3325250.0,1235,-2903000.0,7887
-3269250.0,1291,-2923000.0,7907
-3212250.0,1348,-2943000.0,7927
-3155250.0,1405,-2962000.0,7946
-3098250.0,1462,-2980000.0,7964
-3041250.0,1519,-2999000.0,7983
-2984250.0,1576,-3017000.0,8001
-2926250.0,1634,-3035000.0,8019
-2869250.0,1691,-3052000.0,8036
-2812250.0,1748,-3069000.0,8053
-2754250.0,1806,-3086000.0,8070
2753750.0,7314,-3086000.0,8070
2811750.0,7372,-3069000.0,8053
2869750.0,7430,-3052000.0,8036
2926750.0,7487,-3035000.0,8019
2983750.0,7544,-3017000.0,8001
3041750.0,7602,-2999000.0,7983
3098750.0,7659,-2980000.0,7964
3155750.0,7716,-2962000.0,7946
3212750.0,7773,-2943000.0,7927
-4511250.0,49,-2330000.0,7314
-4457250.0,103,-2357000.0,7341
-4404250.0,156,-2383000.0,7367
-4350250.0,210,-2410000.0,7394
-4297250.0,263,-2436000.0,7420
-4243250.0,317,-2461000.0,7445
-4189250.0,371,-2487000.0,7471
-4135250.0,425,-2511000.0,7495
-4080250.0,480,-2536000.0,7520
-4026250.0,534,-2560000.0,7544
-3971250.0,589,-2584000.0,7568
-3916250.0,644,-2608000.0,7592
-3862250.0,698,-2631000.0,7615
-3807250.0,753,-2654000.0,7638
-3751250.0,809,-2677000.0,7661
-3696250.0,864,-2699000.0,7683
-3641250.0,919,-2721000.0,7705
-3585250.0,975,-2743000.0,7727
-3529250.0,1031,-2764000.0,7748
-3474250.0,1086,-2785000.0,7769
-3418250.0,1142,-2806000.0,7790
-3361250.0,1199,-2826000.0,7810
-3305250.0,1255,-2846000.0,7830
-3249250.0,1311,-2866000.0,7850
-3193250.0,1367,-2885000.0,7869
-3136250.0,1424,-2904000.0,7888
-3079250.0,1481,-2923000.0,7907
