y,x,lat ,lon
-3047556.7906446517,-3647723.169580648,6.25,235.75
-2986446.4798380067,-3665807.6822077725,6.25,236.25
-2925228.8656612555,-3683525.5657820343,6.25,236.75
-2863906.1476704013,-3700876.183697817,6.25,237.25
-2802480.529197852,-3717858.912545392,6.25,237.75
-2740954.2172732474,-3734473.1421333337,6.25,238.25
-2679329.4225441325,-3750718.275510437,6.25,238.75
-2617608.3591965716,-3766593.7289871676,6.25,239.25
-2555793.2448755708,-3782098.9321566285,6.25,239.75
-2493886.3006053804,-3797233.327915063,6.25,240.25
-2431889.7507097367,-3811996.372481869,6.25,240.75
-2369805.8227318893,-3826387.535419135,6.25,241.25
-2307636.7473546145,-3840406.299650698,6.25,241.75
-2245384.758320043,-3854052.161480725,6.25,242.25
-2183052.092349384,-3867324.630611811,6.25,242.75
-2120640.989062603,-3880223.23016259,6.25,243.25
-2058153.690897904,-3892747.4966848833,6.25,243.75
-1995592.443031199,-3904896.9801803287,6.25,244.25
-1932959.4932954225,-3916671.24411657,6.25,244.75
-1870257.0920997458,-3928069.865442933,6.25,245.25
-1807487.4923487648,-3939092.4346056227,6.25,245.75
-1744652.9493615027,-3949738.5555624454,6.25,246.25
-1681755.7207904188,-3960007.8457970363,6.25,246.75
-1618798.066540273,-3969899.936332596,6.25,247.25
-1555782.2486869083,-3979414.471745162,6.25,247.75
-1492710.5313960114,-3988551.1101763663,6.25,248.25
-1429585.1808417416,-3997309.5233457256,6.25,248.75
-1366408.4651252904,-4005689.396562434,6.25,249.25
-1303182.6541934295,-4013690.4287366695,6.25,249.75
-1239910.019756902,-4021312.3323904146,6.25,250.25
-1176592.8352088446,-4028554.833667782,6.25,250.75
-1113233.3755430847,-4035417.6723448555,6.25,251.25
-1049833.9172723803,-4041900.6018390437,6.25,251.75
-986396.7383466691,-4048003.389217934,6.25,252.25
-922924.1180711716,-4053725.815207663,6.25,252.75
-859418.3370245388,-4059067.674200799,6.25,253.25
-795881.676976892,-4064028.7742637233,6.25,253.75
-732316.4208078197,-4068608.9371435363,6.25,254.25
-668724.8524243976,-4072807.99827445,6.25,254.75
-605109.2566790769,-4076625.8067837083,6.25,255.25
-541471.9192876342,-4080062.225497008,6.25,255.75
-477815.12674702576,-4083117.1309434213,6.25,256.25
-414141.1662532141,-4085790.4133598427,6.25,256.75
-350452.3256190281,-4088081.9766949196,6.25,257.25
-286750.8931919415,-4089991.738612519,6.25,257.75
-223039.15777183324,-4091519.6304946686,6.25,258.25
-159319.40852879593,-4092665.5974440365,6.25,258.75
-95593.93492083396,-4093429.5982858962,6.25,259.25
-31865.02661164815,-4093811.6055696104,6.25,259.75
31865.0266116514,-4093811.6055696104,6.25,260.25
95593.9349208372,-4093429.5982858962,6.25,260.75
159319.40852879267,-4092665.5974440365,6.25,261.25
223039.15777183647,-4091519.6304946686,6.25,261.75
286750.89319194475,-4089991.7386125177,6.25,262.25
350452.32561903144,-4088081.9766949196,6.25,262.75
414141.16625321744,-4085790.4133598413,6.25,263.25
477815.1267470225,-4083117.1309434213,6.25,263.75
541471.9192876373,-4080062.225497008,6.25,264.25
605109.2566790801,-4076625.8067837083,6.25,264.75
668724.8524243943,-4072807.99827445,6.25,265.25
732316.4208078227,-4068608.9371435363,6.25,265.75
795881.6769768953,-4064028.7742637233,6.25,266.25
859418.3370245419,-4059067.674200799,6.25,266.75
922924.1180711748,-4053725.8152076616,6.25,267.25
986396.738346666,-4048003.389217934,6.25,267.75
1049833.9172723833,-4041900.6018390437,6.25,268.25
1113233.375543088,-4035417.6723448555,6.25,268.75
1176592.8352088477,-4028554.833667782,6.25,269.25
1239910.019756905,-4021312.332390413,6.25,269.75
1303182.6541934262,-4013690.4287366695,6.25,270.25
1366408.4651252935,-4005689.396562434,6.25,270.75
1429585.1808417449,-3997309.5233457256,6.25,271.25
1492710.5313960144,-3988551.1101763663,6.25,271.75
1555782.2486869118,-3979414.471745162,6.25,272.25
1618798.0665402699,-3969899.936332596,6.25,272.75
1681755.720790422,-3960007.8457970363,6.25,273.25
1744652.9493615057,-3949738.5555624454,6.25,273.75
1807487.4923487618,-3939092.434605624,6.25,274.25
1870257.092099749,-3928069.865442933,6.25,274.75
1932959.4932954255,-3916671.24411657,6.25,275.25
1995592.4430312023,-3904896.9801803287,6.25,275.75
2058153.6908979071,-3892747.496684882,6.25,276.25
2120640.9890626003,-3880223.230162591,6.25,276.75
2183052.0923493872,-3867324.6306118094,6.25,277.25
2245384.758320046,-3854052.1614807234,6.25,277.75
2307636.747354618,-3840406.299650698,6.25,278.25
2369805.8227318926,-3826387.5354191335,6.25,278.75
2431889.7507097335,-3811996.3724818705,6.25,279.25
2493886.30060539,-3797233.3279150603,6.25,279.75
2555793.244875574,-3782098.9321566266,6.25,280.25
2617608.359196575,-3766593.728987166,6.25,280.75
2679329.4225441413,-3750718.2755104355,6.25,281.25
2740954.217273237,-3734473.1421333365,6.25,281.75
2802480.529197855,-3717858.912545392,6.25,282.25
2863906.14767041,-3700876.183697814,6.25,282.75
2925228.8656612467,-3683525.565782039,6.25,283.25
2986446.4798380095,-3665807.6822077725,6.25,283.75
3047556.7906446615,-3647723.1695806454,6.25,284.25
3108557.6023805863,-3629272.677679314,6.25,284.75
3169446.72327956,-3610456.8694320843,6.25,285.25
3230221.965588332,-3591276.4208931536,6.25,285.75
3290881.1456453768,-3571732.021218269,6.25,286.25
3351422.0839592963,-3551824.372639985,6.25,286.75
3411842.605287095,-3531554.1904424434,6.25,287.25
3472140.5387124135,-3510922.2029356486,6.25,287.75
3532313.717723486,-3489929.1514293123,6.25,288.25
3592359.9802909526,-3468575.790206232,6.25,288.75
3652277.1689456142,-3446862.886495158,6.25,289.25
3712063.130855909,-3424791.22044325,6.25,289.75
3771715.717905235,-3402361.5850880505,6.25,290.25
3831232.7867691964,-3379574.786328966,6.25,290.75
3890612.1989925853,-3356431.642898327,6.25,291.25
3949851.8210661756,-3332932.9863319863,6.25,291.75
4008949.5245034522,-3309079.660939406,6.25,292.25
4067903.1859170552,-3284872.5237733442,6.25,292.75
4126710.6870950344,-3260312.444599071,6.25,293.25
4185369.9150770293,-3235400.3058630875,6.25,293.75
4243878.762230155,-3210137.0026614387,6.25,294.25
4302235.126324677,-3184523.4427075665,6.25,294.75
4360436.910609678,-3158560.546299646,6.25,295.25
4418482.023888243,-3132249.246287582,6.25,295.75
4476368.380592661,-3105590.488039462,6.25,296.25
4534093.900859438,-3078585.2294075536,6.25,296.75
4591656.510603865,-3051234.440693965,6.25,297.25
4649054.141594677,-3023539.1046157163,6.25,297.75
4706284.731528315,-2995500.2162694545,6.25,298.25
4763346.224102987,-2967118.7830957198,6.25,298.75
4820236.569092627,-2938395.8248427054,6.25,299.25
4876953.722420519,-2909332.373529647,6.25,299.75
4933495.646232711,-2879929.473409746,6.25,300.25
-3089983.3882437325,-3568520.47794759,6.75,235.25
-3029347.0677878787,-3586860.7247026744,6.75,235.75
-2968601.902538781,-3604837.178978285,6.75,236.25
-2907750.0750773214,-3622449.194878322,6.75,236.75
-2846793.7718167403,-3639696.1396010043,6.75,237.25
-2785735.182924124,-3656577.3934615958,6.75,237.75
-2724576.502241695,-3673092.3499146756,6.75,238.25
-2663319.927207966,-3689240.4155759364,6.75,238.75
-2601967.658778825,-3705021.010243497,6.75,239.25
-2540521.9013484325,-3720433.5669187494,6.75,239.75
-2478984.8626700034,-3735477.531826735,6.75,240.25
-2417358.753776523,-3750152.3644360458,6.75,240.75
-2355645.788901252,-3764457.537478233,6.75,241.25
-2293848.1853982206,-3778392.536966762,6.75,241.75
-2231968.16366253,-3791956.8622154742,6.75,242.25
-2170007.947050561,-3805150.0258565885,6.75,242.75
-2107969.761800132,-3817971.5538581912,6.75,243.25
-2045855.8369504577,-3830420.9855412925,6.75,243.75
-1983668.4042621027,-3842497.8735963567,6.75,244.25
-1921409.6981367788,-3854201.7840993884,6.75,244.75
-1859081.955537041,-3865532.296527521,6.75,245.25
-1796687.4159059587,-3876489.0037741223,6.75,245.75
-1734228.3210866,-3887071.512163423,6.75,246.25
-1671706.915241529,-3897279.441464664,6.75,246.75
-1609125.4447721506,-3907112.424905754,6.75,247.25
-1546486.1582379807,-3916570.1091864556,6.75,247.75
-1483791.3062758918,-3925652.154491065,6.75,248.25
-1421043.1415192285,-3934358.234500638,6.75,248.75
-1358243.9185168522,-3942688.036404707,6.75,249.25
-1295395.8936521772,-3950641.2609125166,6.75,249.75
-1232501.3250620498,-3958217.6222637855,6.75,250.25
-1169562.4725556562,-3965416.8482389646,6.75,250.75
-1106581.5975333098,-3972238.680169026,6.75,251.25
-1043560.962905178,-3978682.8729447545,6.75,251.75
-980502.8330100214,-3984749.1950255516,6.75,252.25
-917409.4735337837,-3990437.428447759,6.75,252.75
-854283.1514282317,-3995747.3688324858,6.75,253.25
-791126.1348294829,-4000678.825392953,6.75,253.75
-727940.6929764922,-4005231.6209413568,6.75,254.25
-664729.0961295627,-4009405.59189522,6.75,254.75
-601493.6154887241,-4013200.588283277,6.75,255.25
-538236.5231121728,-4016616.473750868,6.75,255.75
-474960.0918346175,-4019653.125564829,6.75,256.25
-411666.5951855962,-4022310.434617909,6.75,256.75
-348358.30730782734,-4024588.3054326805,6.75,257.25
-285037.5028754798,-4026486.6561649833,6.75,257.75
-221706.45701242454,-4028005.4186068494,6.75,258.25
-158367.44521053377,-4029144.53818897,6.75,258.75
-95022.74324787136,-4029903.9739826475,6.75,259.25
-31674.627106968506,-4030283.6987012615,6.75,259.75
31674.627106971737,-4030283.6987012615,6.75,260.25
95022.74324787458,-4029903.9739826475,6.75,260.75
158367.44521053054,-4029144.53818897,6.75,261.25
221706.45701242777,-4028005.4186068494,6.75,261.75
285037.502875483,-4026486.656164982,6.75,262.25
348358.30730783055,-4024588.3054326805,6.75,262.75
411666.59518559946,-4022310.434617909,6.75,263.25
474960.0918346142,-4019653.125564829,6.75,263.75
538236.5231121761,-4016616.473750868,6.75,264.25
601493.6154887273,-4013200.588283277,6.75,264.75
664729.0961295594,-4009405.59189522,6.75,265.25
727940.6929764953,-4005231.6209413568,6.75,265.75
791126.1348294861,-4000678.825392953,6.75,266.25
854283.151428235,-3995747.3688324858,6.75,266.75
917409.4735337868,-3990437.4284477574,6.75,267.25
980502.8330100181,-3984749.1950255516,6.75,267.75
1043560.9629051812,-3978682.8729447545,6.75,268.25
1106581.597533313,-3972238.6801690245,6.75,268.75
1169562.4725556592,-3965416.848238963,6.75,269.25
1232501.325062053,-3958217.622263784,6.75,269.75
1295395.893652174,-3950641.2609125166,6.75,270.25
1358243.9185168552,-3942688.036404707,6.75,270.75
1421043.1415192317,-3934358.234500638,6.75,271.25
1483791.3062758946,-3925652.1544910637,6.75,271.75
1546486.158237984,-3916570.109186454,6.75,272.25
1609125.4447721476,-3907112.424905754,6.75,272.75
1671706.9152415323,-3897279.441464664,6.75,273.25
1734228.3210866034,-3887071.512163423,6.75,273.75
1796687.4159059552,-3876489.0037741237,6.75,274.25
1859081.9555370444,-3865532.296527521,6.75,274.75
1921409.698136782,-3854201.7840993884,6.75,275.25
1983668.404262106,-3842497.8735963553,6.75,275.75
2045855.8369504607,-3830420.985541291,6.75,276.25
2107969.7618001294,-3817971.5538581926,6.75,276.75
2170007.9470505645,-3805150.025856587,6.75,277.25
2231968.1636625333,-3791956.8622154742,6.75,277.75
2293848.185398224,-3778392.5369667606,6.75,278.25
2355645.7889012555,-3764457.537478232,6.75,278.75
2417358.7537765196,-3750152.364436047,6.75,279.25
2478984.862670013,-3735477.5318267336,6.75,279.75
2540521.901348436,-3720433.566918748,6.75,280.25
2601967.6587788276,-3705021.010243495,6.75,280.75
2663319.927207975,-3689240.4155759336,6.75,281.25
2724576.5022416846,-3673092.349914677,6.75,281.75
2785735.1829241267,-3656577.3934615958,6.75,282.25
2846793.771816749,-3639696.1396010015,6.75,282.75
2907750.0750773125,-3622449.194878325,6.75,283.25
2968601.9025387843,-3604837.178978285,6.75,283.75
3029347.067787888,-3586860.7247026716,6.75,284.25
3089983.3882437292,-3568520.4779475913,6.75,284.75
3150508.685236298,-3549817.097680232,6.75,285.25
3210920.7840845794,-3530751.2559152367,6.75,285.75
3271217.5141748358,-3511323.6376905204,6.75,286.25
3331396.709038536,-3491534.9410426654,6.75,286.75
3391456.206430171,-3471385.8769818577,6.75,287.25
3451393.8484050124,-3450877.1694663116,6.75,287.75
3511207.4813966095,-3430009.555376277,6.75,288.25
3570894.9562941315,-3408783.784487568,6.75,288.75
3630454.1285196636,-3387200.6194445984,6.75,289.25
3689882.8581052143,-3365260.8357330053,6.75,289.75
3749179.0097695803,-3342965.2216517814,6.75,290.25
3808340.4529951327,-3320314.5782849356,6.75,290.75
3867365.062104334,-3297309.7194727156,6.75,291.25
3926250.716336074,-3273951.471782394,6.75,291.75
3984995.2999219443,-3250240.6744785258,6.75,292.25
4043596.7021622215,-3226178.1794928187,6.75,292.75
4102052.81750167,-3201764.8513935297,6.75,293.25
4160361.545605263,-3177001.5673543788,6.75,293.75
4218520.7914336175,-3151889.217123043,6.75,294.25
4276528.465318213,-3126428.70298921,6.75,294.75
4334382.483036615,-3100620.9397520954,6.75,295.25
4392080.7658872,-3074466.854687656,6.75,295.75
4449621.240763916,-3047967.3875152236,6.75,296.25
4507001.840230841,-3021123.4903637236,6.75,296.75
