y_coordinate ,y_index,x_coordinate ,x_index
-3048000.0,8032,-3647250.0,913
-2986000.0,7970,-3666250.0,894
-2925000.0,7909,-3683250.0,877
-2864000.0,7848,-3701250.0,859
-2802000.0,7786,-3718250.0,842
-2741000.0,7725,-3734250.0,826
-2679000.0,7663,-3750250.0,810
-2618000.0,7602,-3766250.0,794
-2556000.0,7540,-3782250.0,778
-2494000.0,7478,-3797250.0,763
-2432000.0,7416,-3812250.0,748
-2370000.0,7354,-3826250.0,734
-2308000.0,7292,-3840250.0,720
-2245000.0,7229,-3854250.0,706
-2183000.0,7167,-3867250.0,693
-2121000.0,7105,-3880250.0,680
-2058000.0,7042,-3892250.0,668
-1996000.0,6980,-3905250.0,655
-1933000.0,6917,-3916250.0,644
-1870000.0,6854,-3928250.0,632
-1807000.0,6791,-3939250.0,621
-1745000.0,6729,-3949250.0,611
-1682000.0,6666,-3960250.0,600
-1619000.0,6603,-3970250.0,590
-1556000.0,6540,-3979250.0,581
-1493000.0,6477,-3988250.0,572
-1430000.0,6414,-3997250.0,563
-1366000.0,6350,-4005250.0,555
-1303000.0,6287,-4013250.0,547
-1240000.0,6224,-4021250.0,539
-1177000.0,6161,-4028250.0,532
-1113000.0,6097,-4035250.0,525
-1050000.0,6034,-4042250.0,518
-986000.0,5970,-4048250.0,512
-923000.0,5907,-4053250.0,507
-859000.0,5843,-4059250.0,501
-796000.0,5780,-4064250.0,496
-732000.0,5716,-4068250.0,492
-669000.0,5653,-4073250.0,487
-605000.0,5589,-4076250.0,484
-541000.0,5525,-4080250.0,480
-478000.0,5462,-4083250.0,477
-414000.0,5398,-4086250.0,474
-350000.0,5334,-4088250.0,472
-287000.0,5271,-4090250.0,470
-223000.0,5207,-4091250.0,469
-159000.0,5143,-4092250.0,468
-96000.0,5080,-4093250.0,467
-32000.0,5016,-4094250.0,466
32000.0,4952,-4094250.0,466
96000.0,4888,-4093250.0,467
159000.0,4825,-4092250.0,468
223000.0,4761,-4091250.0,469
287000.0,4697,-4090250.0,470
350000.0,4634,-4088250.0,472
414000.0,4570,-4086250.0,474
478000.0,4506,-4083250.0,477
541000.0,4443,-4080250.0,480
605000.0,4379,-4076250.0,484
669000.0,4315,-4073250.0,487
732000.0,4252,-4068250.0,492
796000.0,4188,-4064250.0,496
859000.0,4125,-4059250.0,501
923000.0,4061,-4053250.0,507
986000.0,3998,-4048250.0,512
1050000.0,3934,-4042250.0,518
1113000.0,3871,-4035250.0,525
1177000.0,3807,-4028250.0,532
1240000.0,3744,-4021250.0,539
1303000.0,3681,-4013250.0,547
1366000.0,3618,-4005250.0,555
1430000.0,3554,-3997250.0,563
1493000.0,3491,-3988250.0,572
1556000.0,3428,-3979250.0,581
1619000.0,3365,-3970250.0,590
